,precision,recall,f1-score,support
Kinetic tremor,0.9696969696969697,0.6808510638297872,0.8,47.0
Postural tremor,0.8813559322033898,0.9285714285714286,0.9043478260869565,56.0
Fist,0.6724137931034483,0.8125,0.7358490566037735,48.0
Finger tapping,0.673469387755102,0.7333333333333333,0.7021276595744681,45.0
Pronation and supination of the hand,0.5,0.38461538461538464,0.43478260869565216,13.0
accuracy,0.7703349282296651,0.7703349282296651,0.7703349282296651,0.7703349282296651
macro avg,0.739387216551782,0.7079742420699867,0.7154214301921702,209.0
weighted avg,0.7847544224741269,0.7703349282296651,0.769436131922226,209.0
