,precision,recall,f1-score,support
Finger tapping,0.7551020408163265,0.7551020408163265,0.7551020408163265,49.0
Fist,0.7307692307692307,0.76,0.7450980392156863,50.0
Kinetic tremor,0.7450980392156863,0.95,0.8351648351648352,40.0
Postural tremor,0.8253968253968254,0.9629629629629629,0.8888888888888888,54.0
Pronation and supination of the hand,1.0,0.9883720930232558,0.9941520467836257,1892.0
accuracy,0.9760191846522782,0.9760191846522782,0.9760191846522782,0.9760191846522782
macro avg,0.8112732272396137,0.8832874193605089,0.8436811701738725,2085.0
weighted avg,0.9783759288625983,0.9760191846522782,0.976785212413428,2085.0
